Hope(S1),Joy(S2),Surprise(S3),Anticipation(S4),Sadness(S5),Fear(S6),Anger(S7),Disgust(S8),Disgust-Joy(F1) ,Disgust-Hope(F2),Disgust-Anti(F3) ,Disgust-Surprise(F4),Anger-Joy(F5),Anger-Hope(F6),Anger-Anti(F7),Anger-Surprise(F8) ,Fear-Joy(F9),Fear-Hope(F10) ,Fear-Anti(F11),Fear-Surprise(F12) ,Sadness-Joy(F13),Sadness-Hope(F14) ,Sad-Anti(F15) ,Sadness-Surprise(F16),Positive(Joy+Hope) F17,Negative(Dis+Anger+Fear+Sad) F18,Neutral(Anti+Surprise) F19,LABEL
90836,92642,94394,71252,89089,94538,89414,132687,41851,40045,38293,61435,1422,3228,4980,18162,3702,1896,144,23286,1747,3553,5305,17837,183478,405728,165646,1
168962,167867,164219,146881,173204,182282,171868,149664,19298,18203,14555,2783,2906,4001,7649,24987,13320,14415,18063,35401,4242,5337,8985,26323,336829,677018,311100,1
180561,195670,171928,271333,180848,173762,184727,209811,29250,14141,37883,61522,4166,10943,12799,86606,6799,21908,1834,97571,287,14822,8920,90485,376231,749148,443261,1
168312,178213,169067,200695,170173,175653,170269,160406,7906,17807,8661,40289,1957,7944,1202,30426,7341,2560,6586,25042,1861,8040,1106,30522,346525,676501,369762,1
78883,90606,64156,115242,74653,73746,63289,82783,3900,7823,18627,32459,15594,27317,867,51953,5137,16860,9590,41496,4230,15953,10497,40589,169489,294471,179398,1
85401,98345,86480,82004,88824,82906,89568,120922,35521,22577,34442,38918,4167,8777,3088,7564,2495,15439,3574,902,3423,9521,2344,6820,183746,382220,168484,1
221412,225472,214404,220940,222652,227056,218451,199517,21895,25955,14887,21423,2961,7021,4047,2489,5644,1584,12652,6116,1240,2820,8248,1712,446884,867676,435344,1
218677,247250,205983,281690,208521,212455,184084,255310,36633,8060,49327,26380,34593,63166,21899,97606,6222,34795,6472,69235,10156,38729,2538,73169,465927,860370,487673,1
117189,127870,114031,132788,118134,117434,119276,181015,63826,53145,66984,48227,2087,8594,5245,13512,245,10436,3403,15354,945,9736,4103,14654,245059,535859,246819,1
81484,93535,87657,94269,90867,96199,89329,93162,11678,373,5505,1107,7845,4206,1672,4940,14715,2664,8542,1930,9383,2668,3210,3402,175019,369557,181926,1
154157,137263,132303,125461,147672,140112,149122,144888,9269,7625,12585,19427,5035,11859,16819,23661,14045,2849,7809,14651,6485,10409,15369,22211,291420,581794,257764,1
135953,141788,128681,157352,132485,133341,126104,159334,23381,17546,30653,1982,9849,15684,2577,31248,2612,8447,4660,24011,3468,9303,3804,24867,277741,551264,286033,1
110356,115779,122609,129022,126436,126665,126379,129026,18670,13247,6417,4,16023,10600,3770,2643,16309,10886,4056,2357,16080,10657,3827,2586,226135,508506,251631,1
90357,96528,91898,85146,99210,95761,98561,104331,13974,7803,12433,19185,8204,2033,6663,13415,5404,767,3863,10615,8853,2682,7312,14064,186885,397863,177044,1
79531,87172,92799,100194,82802,87971,87302,92135,12604,4963,664,8059,7771,130,5497,12892,8440,799,4828,12223,3271,4370,9997,17392,166703,350210,192993,1
141449,141847,136621,115434,145192,145653,141068,190776,49327,48929,54155,75342,381,779,4447,25634,4204,3806,9032,30219,3743,3345,8571,29758,283296,622689,252055,1
314734,269857,335293,364409,370868,365044,328249,368631,53897,98774,33338,4222,13515,58392,7044,36160,50310,95187,29751,635,56134,101011,35575,6459,584591,1432792,699702,1
103000,101480,94210,102239,102191,98643,106006,197917,94917,96437,103707,95678,3006,4526,11796,3767,4357,2837,4433,3596,809,711,7981,48,204480,504757,196449,1
161005,180544,154292,200825,145333,167258,149623,193939,32934,13395,39647,6886,11382,30921,4669,51202,6253,13286,12966,33567,15672,35211,8959,55492,341549,656153,355117,1
76043,82251,67621,94929,73214,75857,71683,105332,29289,23081,37711,10403,4360,10568,4062,23246,186,6394,8236,19072,2829,9037,5593,21715,158294,326086,162550,1
51837,55652,56292,41544,56734,60250,60044,82459,30622,26807,26167,40915,8207,4392,3752,18500,8413,4598,3958,18706,4897,1082,442,15190,107489,259487,97836,1
62178,63343,62458,52457,63634,65897,60941,62783,605,560,325,10326,1237,2402,1517,8484,3719,2554,3439,13440,1456,291,1176,11177,125521,253255,114915,1
87931,84749,88721,113973,82860,89254,80299,103746,15815,18997,15025,10227,7632,4450,8422,33674,1323,4505,533,24719,5071,1889,5861,31113,172680,356159,202694,1
96089,103201,101913,84051,99371,98550,104135,95752,337,7449,6161,11701,8046,934,2222,20084,2461,4651,3363,14499,3282,3830,2542,15320,199290,397808,185964,1
120535,127999,120906,118811,118776,122059,109870,98221,22314,29778,22685,20590,10665,18129,11036,8941,1524,5940,1153,3248,1759,9223,2130,35,248534,448926,239717,1
88966,72365,87202,62807,91905,89945,80012,107171,18205,34806,19969,44364,8954,7647,7190,17205,979,17580,2743,27138,2939,19540,4703,29098,161331,369033,150009,1
153203,149056,154449,196006,162644,153978,156803,254907,101704,105851,100458,58901,3600,7747,2354,39203,775,4922,471,42028,9441,13588,8195,33362,302259,728332,350455,1
26928,31842,34883,26624,31986,35712,35597,36776,9848,4934,1893,10152,8669,3755,714,8973,8784,3870,829,9088,5058,144,2897,5362,58770,140071,61507,1
222619,226464,204687,249455,206762,205322,209463,330385,107766,103921,125698,80930,13156,17001,4776,39992,17297,21142,635,44133,15857,19702,2075,42693,449083,951932,454142,1
126492,119503,102012,155317,103885,109152,102354,101211,25281,18292,801,54106,24138,17149,342,52963,17340,10351,7140,46165,22607,15618,1873,51432,245995,416602,257329,1
235650,241992,236771,281151,232197,241984,241289,261515,25865,19523,24744,19636,5639,703,4518,39862,6334,8,5213,39167,3453,9795,4574,48954,477642,976985,517922,1
112683,97932,108044,94720,110559,125537,120514,174371,61688,76439,66327,79651,7831,22582,12470,25794,12854,27605,17493,30817,2124,12627,2515,15839,210615,530981,202764,1
152475,151206,145855,203753,150287,149176,153794,316094,163619,164888,170239,112341,1319,2588,7939,49959,3299,2030,3321,54577,2188,919,4432,53466,303681,769351,349608,1
256392,288155,257478,364993,269882,282277,262745,335204,78812,47049,77726,29789,6353,25410,5267,102248,25885,5878,24799,82716,13490,18273,12404,95111,544547,1150108,622471,1
54248,55897,46973,63615,42749,47198,50314,51921,2327,3976,4948,11694,3934,5583,3341,13301,7050,8699,225,16417,11499,13148,4224,20866,110145,192182,110588,1
215123,232256,206003,246787,222681,223605,217093,208946,6177,23310,2943,37841,1970,15163,11090,29694,8482,8651,17602,23182,7558,9575,16678,24106,447379,872325,452790,1
160043,173917,146602,176909,152590,156845,158690,177454,17411,3537,30852,545,1353,15227,12088,18219,3198,17072,10243,20064,7453,21327,5988,24319,333960,645579,323511,1
116684,128851,114449,113443,120146,123885,115808,158944,42260,30093,44495,45501,876,13043,1359,2365,7201,4966,9436,10442,3462,8705,5697,6703,245535,518783,227892,1
84416,83514,80232,106237,71974,89251,88700,100720,16304,17206,20488,5517,4284,5186,8468,17537,4835,5737,9019,16986,12442,11540,8258,34263,167930,350645,186469,1
280122,278325,274943,365834,264715,287390,259975,382512,102390,104187,107569,16678,20147,18350,14968,105859,7268,9065,12447,78444,15407,13610,10228,101119,558447,1194592,640777,1
34753,48060,40311,44210,23085,34748,26596,67553,32800,19493,27242,23343,8157,21464,13715,17614,5,13312,5563,9462,11668,24975,17226,21125,82813,151982,84521,1
64427,67648,70624,52990,63973,71121,73882,69049,4622,1401,1575,16059,9455,6234,3258,20892,6694,3473,497,18131,454,3675,6651,10983,132075,278025,123614,1
266329,264420,250396,289376,263779,267125,259912,337698,71369,73278,87302,48322,6417,4508,9516,29464,796,2705,16729,22251,2550,641,13383,25597,530749,1128514,539772,1
55266,52938,49190,64700,57086,52040,55984,104307,49041,51369,55117,39607,718,3046,6794,8716,3226,898,2850,12660,1820,4148,7896,7614,108204,269417,113890,1
78238,78521,70078,83357,68134,64563,69387,86995,8757,8474,16917,3638,8851,9134,691,13970,13675,13958,5515,18794,10104,10387,1944,15223,156759,289079,153435,1
30233,27747,26173,22087,31346,31128,33064,43265,13032,15518,17092,21178,2831,5317,6891,10977,895,3381,4955,9041,1113,3599,5173,9259,57980,138803,48260,1
71509,76129,73558,126715,74031,73760,68752,150886,79377,74757,77328,24171,2757,7377,4806,57963,2251,2369,202,52955,2522,2098,473,52684,147638,367429,200273,1
